name,extra_ingredients,core_ingredients,instructions
Provencal Butterbean & Mint Pistou,onion;garlic;pine_nut;mint;rosemary;tomato_puree;white_wine;bouillon;red_pesto;lemon,french_beans;carrot;black_olive;butterbeans;cherry_tomato;spinach,"1: Trim and halve the beans, Peel and thinly slice the carrots. Peel, halve and finely slice the onion. Peel and finely chop or grate the garlic.;2: Gently heat the pine nuts in a large dry pan, stirring often, until lightly golden and toasted. Transfer them to a plate and set aside.;3: Heat 2 tbsp oil in the same pan. Gently fry the onion for 10 minutes, stirring often, until softening. Add a splash of water iſ it looks like catching.;4: Meanwhile, pick and chop the mint leaves. You want about 2 tbsp of chopped leaves. Place them in a bowl.;5: Strip the leaves from the rosemary stalks. Finely chop them. Add them to the onion pan. Fry for a further 3 minutes.;6: Meanwhile, slice the olives. Drain the butterbeans.;7: To the onion pan, add half the garlic (see our tip). Stir for 30 seconds. Add the tomato purée. Stir for 30 seconds. Add the wine. Let it reduce.;8: Add the bouillon, pesto, 400ml of water, carrots, tomatoes (whole), olives and butterbeans. Season. Bring to a low boil. Cook for 10 minutes.;9: Finely chop the pine nuts. Add them to the mint. Stir in enough olive oil to make a good dressing consistency Season, add lemon juice and remaining garlic, both to taste. This is your pistou.;10: Add the beans to the pan. Cook for a further 5 minutes or so, until the beans are tender with a little bite. In handfuls, stir in the spinach (half the bag) until just wilted. Season and add a squeeze of lemon to taste.;11: Serve with the mint pistou."
Mexican Enchiladas,onion;garlic;paprika;coriander;chilli_flakes;lime;cajun_seasoning,red_pepper;courgette;kidney_beans;tomato;chopped_tomato;tortilla;cheddar_cheese;salad;soured_cream,"1: Preheat your oven to 200 Peel and finely dice the onion. Heat 2 tbsp of oil in a medium saucepan. Fry the onion on a low heat, stirring now and then, for 10 mins. Add a splash of water if it looks like catching.;2: Halve and deseed the pepper. Chop the pepper and courgette into 1/2-2cm dice. Toss in a roasting tin, in oil to coat. Season. Roast for 15 mins. Set aside once done.;3: Meanwhile, peel and chop the garlic. Drain and rinse the kidney beans. Rinse the tin. Refill it two-thirds full of water.;4: Stir the garlic and refried bean spice pot into the fried onion. Stir in the kidney beans and a tin of water. Season. Bring to a low boil. Cook for 10 mins. Stir now and then - keep an eye on the liquid - you want it all reduced but not to catch and boil dry.;5: Meanwhile, dice the fresh tomatoes. Chop the coriander, stalks and all. In a bowl, mix the tomato, remaining onion, a pinch of chilli flakes (to taste) and half the coriander. Add lime juice and season. This is your salsa.;6: When the beans have cooked for 10 mins, coarsely mash in the pan. Gently heat for a further 2-3 mins if needed, to dry the mix out a little (take care it does not catch - stir regularly).;7: Spread 3 tbsp of tinned tomatoes in a baking dish. Drizzle over a little oil. Lay out 4 tortillas. Dollop the beans down the middle of each. Top with roasted veg. Roll them up. Lay them, seam-side down, in the baking dish. Cover with remaining tinned tomatoes. Sprinkle over the cheese and tomato salsa.;8: Bake for 20 mins. Transfer to plates. Scatter with remaining coriander. Serve with the salad leaves and soured cream."
Afghan Spiced Squash,onion;garlic;ginger;cumin_seed;chilli_flakes;coriander_seed;turmeric;sugar;mint,butternut_squash;tomato;yogurt;pitta;salad;chilli,"1: Preheat the oven to 190.;2: Place the squash in a large baking tray and toss with 2 tbsp of oil and tsp salt. Transfer to the oven and roast for 25-30 minutes, until cooked but still slightly firm.;3: To make the spiced tomatoes, heat 3 tbsp of oil in a large pan and add the onion. Fry over a medium heat for 15;4: Add the garlic, ginger and chilli (add to your taste) and cook for a further 5 minutes.;5: Toast the spiced tomato spice pot in a dry frying pan over a medium heat for a minute or so, until the spice aromas are released, then grind in a mortar and pestle and add to the pan with the turmeric, 1 tsp salt and 1/4 tsp black pepper.;6: After the spices have cooked for a few minutes, add the tomatoes and 2 tsp sugar. Bring to a simmer, then cover and cook for 15 minutes. You can make the squash element and yogurt sauce in advance.;7: Add the squash and cook for 10 minutes, puting in the measured by water to love the same Taste to apst the seasoning;8: Make the yogurt sauce combining the yogurt and garlic with a tsp salt;9: To serve, transfer the squash to a serving plate, spoon over the yogurt sauce and sprinkle with dried mint. minutes until it is soft.;10: Serve with toasted pittas and some salad leaves."
Baked Butternut Squash Biryani With Cultured Coconut & Side,ground_turmeric;cultured_coconut;curry_powder;garlic;ginger;coriander;dried_bay_leaf;tomato;onion_bhajis;white_basmati_rice;crispy_onions;butternut_squash_cubes;green_chilli;cardamom_pod,"1: Before you begin... This recipe takes around 5-10 min to prep, so get your casserole dish and all your ingredients ready, then wash your fruit and veg Note: Make sure your dish is oven-proof and safe to use on the hob. Don't have one? Start cooking in a large, wide-based pan then transfer to an oven-proof dish and cover tightly with foil;2: Now, let's get started! Preheat the oven to 220°C/ 200°C (fan)/ gas 7 Boil a kettle Heat a large, wide-based,hob-safeoven-proof casserole dish with a matching lid with a drizzle of olive oil over a high heat Once hot, add yourbutternut squash cubes to the dish;3: Chop your tomato[es]into wedges Crush yourgarlicopen by squashing with the side of a knife and remove the skinsAdd thetomato wedgesandcrushedgarlicto the dish;4: Crush yourcardamom podsopen by squashing them with the side of a knifeCut yourgingerin half (no need to peel!);5: Add thecrushed cardamom podsandhalved ginger to the dish with yourground turmeric,curry powderandbay leaf[ves]and give everything a good mix up;6: Sprinkle in yourvegetable stock mixAdd yourbasmati rice with 350ml[525ml][700ml]boiled water and bring to the boil over a high heat Cover with a lid and put the dish in the oven for 15-20 min or until all the water has absorbed, the squash is fork-tender and the rice is cooked;7: Once the rice is cooked, remove the dish from the oven and set aside for 5 min to steam (keep the lid on!) – this is yourbaked butternut squash biryani Slice yourgreen chilli[es]finely Chop yourcorianderroughly, including the stalksTo serve, fluff the baked butternut squash biryani with a fork, stir through thechopped corianderand season with a generous pinch ofsaltandpepper, top with a dollop ofyourcultured coconut, thesliced green chilli(can't handle the heat? Go easy!) andcrispy onions Tip: Watch out for the ginger halves, cardamom pods and bay leaf[ves] and discard! Dig in!"
Hoisin Pork & Mushroom Brown Rice Bowl,red_chilli;sesame_seeds;crispy_onions;hoisin_sauce;ginger_garlic_paste;soy_sauce;vegetable_oil;flour,cooked_long_grain_rice;white_cup_mushrooms;gem_lettuce;pork_mince,"1: Before you begin, get all your ingredients and equipment ready. Skim through these steps, then wash your fruit and veg.;2: Heat a large wide-based pan with a drizzle of vegetable oil over a high heat. Once hot, add the pork mince with a pinch of salt and cook for 3–4 minutes, breaking it up, until starting to brown.;3: Meanwhile, wash the lettuce, pat dry and remove the outer leaves. Roughly shred the inner core. Slice the red chilli into rounds.;4: Once the mince has started to brown, add the ginger & garlic paste and cook for 1 minute until fragrant.;5: Tear the mushrooms into the pan, then add the hoisin sauce and soy sauce. Cook for 3–4 minutes until the mushrooms soften and the mince is cooked through.;6: Warm the cooked rice according to pack instructions.;7: Stir the shredded lettuce and toasted sesame seeds through the mince mixture.;8: Serve the hoisin pork and mushrooms over the rice, topped with crispy onions and chilli rounds. Optionally serve extra lettuce leaves on the side for wrapping."
One Pot Spicy Nduja & Aubergine Lentil Stew,tomato_paste;ciabatta;nduja;dried_thyme;garlic;basil;hard_cheese,red_lentils;aubergine;chopped_tomato;vegetable_stock,"1: Trim the green stalks from the aubergine and chop into small bite-sized cubes. Heat a pot with a generous drizzle of oil over a medium-high heat and cook the aubergine for 5–6 minutes until lightly browned.;2: Boil a kettle. Peel the garlic and cut in half, reserving one piece per person. Finely grate the remaining garlic. Rinse the lentils.;3: Reduce the heat to medium. Tear the ’nduja into the pot and cook gently. Add the grated garlic and dried thyme and cook for 1 minute.;4: Add the tomato paste, chopped tomatoes, lentils and stock. Pour in 450ml of boiled water, season and bring to the boil.;5: Reduce to a simmer and cook, covered, for 15–20 minutes until the lentils are tender.;6: Stir through half the grated cheese and rest for 2–3 minutes.;7: Toast the ciabatta, rub with the reserved garlic and butter if desired.;8: Tear basil over the stew, top with remaining cheese and serve with the garlic toast."
Pork & Black Bean Stir-Fry With Rice,soy_sauce;garlic;toasted_sesame_oil;vegetable_oil;brown_onion;flour,white_long_grain_rice;pork_mince;black_bean_paste;fine_green_beans,"1: Cook the rice with measured cold water, bring to the boil, then simmer covered for 12–15 minutes until tender. Set aside to steam.;2: Peel and cut the onion into wedges. Finely slice the garlic. Boil half a kettle.;3: Heat a wide-based pan with oil over a high heat. Add the pork mince, season and cook for 4–5 minutes until browned.;4: Trim and chop the green beans.;5: Dissolve the black bean paste in boiled water with soy sauce, sesame oil and a pinch of sugar.;6: Add the onion petals and green beans to the pan with the flour and cook for 2–3 minutes.;7: Add the garlic and cook for 1–2 minutes, then pour in the black bean stock.;8: Cook for 4–5 minutes until thickened and cooked through. Serve with the rice."
Smoky Bean Tacos With Chipotle Cream & Smashed Avocado,soy_sauce;soured_cream;ground_smoked_paprika;ground_cumin;chipotle_paste;vegetable_oil,plain_tortillas;black_beans;tomato_paste;gem_lettuce;smashed_avocado;lime;sweet_pointed_pepper,"1: Slice the sweet pointed pepper into rings.;2: Heat oil in a wide-based pan over a high heat. Add the pepper and cook for 3 minutes until softened.;3: Mix the chipotle paste with the soured cream to make the chipotle cream.;4: Drain and rinse the black beans.;5: Add the beans, tomato paste, cumin and smoked paprika to the pan. Cook for 30 seconds, then add soy sauce and boiled water.;6: Simmer for 3 minutes until thickened.;7: Warm the tortillas in the microwave.;8: Add lime juice to the beans. Fill tortillas with smoky beans, lettuce and smashed avocado. Drizzle with chipotle cream and serve with lime wedges."
One Pan Fragrant Lentil & Coconut Shakshuka With Roti,spring_onion;soy_sauce;sriracha_hot_chilli_sauce;ginger_garlic_paste;thai_green_curry_paste;tamarind_paste,red_lentils;butternut_squash_cubes;solid_creamed_coconut;egg;roti,"1: Boil a kettle. Rinse the lentils and roughly chop the creamed coconut.;2: Heat oil in a wide-based pan. Add curry paste, ginger & garlic paste and tamarind paste and cook for 30 seconds.;3: Add lentils, squash, coconut, soy sauce and stock with boiled water. Bring to the boil.;4: Reduce heat and cook covered for 15–20 minutes until tender.;5: Slice the spring onions.;6: Make wells and crack in the eggs. Cover and cook 2–3 minutes.;7: Warm the roti and serve with the shakshuka, topped with spring onions and sriracha."
All In One Honey Baked Greek Cheese & Crispy Gnocchi,dried_chilli_flakes;dried_oregano;red_wine_vinegar;honey,greek_salad_cheese;gnocchi;courgette;gem_lettuce;cherry_tomato;red_onion,"1: Preheat the oven to 220°C.;2: Cut the onion into wedges and chop the courgette.;3: Add vegetables to an oven-proof dish with oil, chilli flakes, oregano and half the vinegar.;4: Top with Greek cheese and drizzle with half the honey. Add gnocchi with oil and seasoning.;5: Bake for 20–25 minutes until golden.;6: Mix remaining honey and vinegar with olive oil.;7: Add a splash of boiled water to the tray, mix well and serve with shredded lettuce dressed in the honey vinaigrette."
Baked Butternut Squash Biryani With Cultured Coconut & Side,ground_turmeric;curry_powder;garlic;ginger;dried_bay_leaf;cardamom_pod;vegetable_stock,white_basmati_rice;butternut_squash_cubes;tomato;cultured_coconut;crispy_onions;green_chilli;coriander,"1: Preheat the oven to 220°C. Boil a kettle.;2: Heat an oven-proof casserole dish with oil over a high heat. Add the squash cubes and cook briefly.;3: Chop the tomatoes into wedges. Crush the garlic and add both to the dish.;4: Crush the cardamom pods and halve the ginger. Add to the dish with turmeric, curry powder and bay leaf.;5: Stir in the vegetable stock mix and rice with 350ml boiled water. Bring to the boil.;6: Cover with a lid and bake for 15–20 minutes until the rice is tender and liquid absorbed.;7: Rest covered for 5 minutes.;8: Fluff with a fork and stir through chopped coriander. Serve topped with cultured coconut, sliced green chilli and crispy onions. Remove ginger, bay and cardamom before eating."
Smoked Basa & Leek Cullen Skink,smoked_sea_salt_flakes;cornish_clotted_cream;ciabatta;garlic;parsley,smoked_basa_fillets;potato;leek;brown_onion;milk;butter;flour,"1: Boil a kettle. Peel and chop the potatoes.;2: Boil potatoes until tender, then drain.;3: Dice the onion, slice the leek and chop garlic and parsley.;4: Cook onion and leek with water until softened.;5: Add butter, flour and garlic, then whisk in milk stock.;6: Add basa, potatoes and clotted cream and simmer until cooked.;7: Toast ciabatta.;8: Stir in parsley, season and serve topped with smoked salt."
Feta salad,salt;pepper;white_wine_vinegar;olive_oil;basil;mint;mustard,feta;giant_couscous;cucumber;cherry_tomato,"1: Boil a kettle. Boil giant cous cous for 10 minutes.;2: Meanwhile, chop the remaining ingredients and add to bowl; 3. Add couscous and vinaigrette (olive oil, salt, pepper, white wine vinegar, mustard)."
Roast potatos with steak/salmon/chicken,salt;pepper,potatoes;chicken_thigh;salmon;steak;asparagus,"1: Halve and oven potatoes for ~1hour.;2: Add chicken/salmon to oven. Otherwise pan fry steak. 3. Add asparagus to oven with 8 mins to go."
Generic weekly lunch bundle,,cherry_tomato;baguette;goats_cheese;gruyere;yeo_valley_kefir; milk,"1: A generic bundle of lunch ingredients for the week."
